Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Austria,3,3,Albon,Norris,Yes,4
Austria,4,4,Hamilton,Norris,Yes,3
Austria,6,14,Kvyat,Giovinazzi,,4
Austria,7,13,Kvyat,Magnussen,,3
Austria,9,3,Hamilton,Albon,Yes,4
Austria,15,14,Ocon,Giovinazzi,,4
Austria,18,14,Raikkonen,Giovinazzi,Yes,4
Austria,25,11,Ocon,Magnussen,Yes,3
Austria,33,4,Perez,Norris,Yes,4
Austria,36,14,Vettel,Grosjean,,3
Austria,44,12,Raikkonen,Russell,,4
Austria,55,3,Albon,Perez,Yes,3
Austria,55,10,Kvyat,Giovinazzi,,3
Austria,61,2,Albon,Hamilton,Yes,4
Austria,61,7,Sainz,Ocon,Yes,6
Austria,61,11,Giovinazzi,Latifi,Background,3
Austria,62,6,Sainz,Gasly,Replay,3
Austria,63,10,Giovinazzi,Vettel,,4
Austria,64,4,Leclerc,Norris,Yes,4
Austria,64,9,Giovinazzi,Kvyat,,3
Austria,64,9,Kvyat,Giovinazzi,,4
Austria,64,12,Albon,Latifi,,3
Austria,66,3,Leclerc,Perez,Yes,3
Austria,67,9,Giovinazzi,Kvyat,,4
Austria,67,11,Albon,Vettel,,4
Austria,68,11,Vettel,Albon,Yes,3
Austria,69,4,Norris,Perez,Yes,3
Austria,69,10,Vettel,Kvyat,Replay,3
Austria,71,5,Sainz,Perez,Replay,4
Styria,4,11,Magnussen,Russell,Yes,4
Styria,4,13,Perez,Giovinazzi,Background,4
Styria,5,9,Stroll,Norris,Background,4
Styria,5,12,Perez,Kvyat,,
Styria,6,3,Bottas,Sainz,Yes,4
Styria,6,11,Perez,Magnussen,,
Styria,7,12,Kvyat,Magnussen,Background,3
Styria,7,15,Grosjean,Latifi,,
Styria,8,4,Albon,Sainz,Yes,4
Styria,8,13,Giovinazzi,Magnussen,,
Styria,10,16,Raikkonen,Latifi,,
Styria,11,14,Grosjean,Magnussen,,
Styria,13,15,Raikkonen,Magnussen,Replay,4
Styria,14,10,Perez,Norris,Yes,3
Styria,17,8,Stroll,Gasly,Replay,4
Styria,18,9,Perez,Gasly,Yes,4
Styria,18,14,Raikkonen,Grosjean,,
Styria,19,6,Ricciardo,Ocon,Yes,4
Styria,21,10,Norris,Gasly,Yes,4
Styria,22,15,Magnussen,Grosjean,,
Styria,32,14,Gasly,Russell,,
Styria,34,12,Sainz,Grosjean,,
Styria,36,9,Stroll,Raikkonen,Yes,4
Styria,37,8,Stroll,Giovinazzi,Yes,3
Styria,37,10,Sainz,Raikkonen,Yes,4
Styria,38,9,Sainz,Giovinazzi,Yes,4
Styria,39,8,Sainz,Perez,Yes,4
Styria,39,8,Perez,Sainz,Yes,6
Styria,41,13,Giovinazzi,Magnussen,Yes,4
Styria,45,6,Perez,Stroll,Yes,6
Styria,45,10,Kvyat,Gasly,,
Styria,47,11,Giovinazzi,Gasly,,
Styria,47,13,Raikkonen,Magnussen,Yes,7
Styria,47,14,Grosjean,Magnussen,,
Styria,48,5,Perez,Ricciardo,Yes,4
Styria,48,11,Raikkonen,Gasly,,
Styria,53,15,Russell,Latifi,,
Styria,54,16,Gasly,Latifi,Yes,4
Styria,55,15,Gasly,Russell,Yes,4
Styria,59,11,Raikkonen,Giovinazzi,,
Styria,65,13,Magnussen,Grosjean,,
Styria,66,2,Bottas,Verstappen,Yes,4
Styria,66,2,Verstappen,Bottas,Yes,6
Styria,67,2,Bottas,Verstappen,Yes,4
Styria,68,12,Magnussen,Giovinazzi,Background,4
Styria,68,13,Grosjean,Giovinazzi,,
Styria,70,6,Stroll,Ricciardo,Yes,3
Styria,70,7,Norris,Ricciardo,Yes,4
Styria,71,6,Norris,Stroll,Yes,4
Hungary,2,14,Ocon,Raikkonen,,12
Hungary,2,15,Ocon,Russell,Yes,1
Hungary,3,10,Albon,Latifi,,6
Hungary,3,11,Ocon,Norris,,1
Hungary,4,4,Ocon,Hamilton,,2
Hungary,4,4,Hamilton,Ocon,,13
Hungary,4,6,Magnussen,Russell,,13
Hungary,4,7,Magnussen,Giovinazzi,,1
Hungary,4,8,Grosjean,Giovinazzi,,12
Hungary,4,9,Grosjean,Stroll,Yes,3
Hungary,4,9,Stroll,Giovinazzi,,12
Hungary,4,10,Leclerc,Giovinazzi,,12
Hungary,4,11,Bottas,Giovinazzi,,13
Hungary,4,17,Kvyat,Gasly,Replay,1
Hungary,5,9,Albon,Ricciardo,,2
Hungary,7,4,Stroll,Grosjean,Yes,1
Hungary,8,6,Bottas,Leclerc,Yes,1
Hungary,8,6,Leclerc,Bottas,Yes,2
Hungary,10,6,Bottas,Leclerc,Yes,1
Hungary,12,5,Bottas,Grosjean,Yes,1
Hungary,14,14,Raikkonen,Gasly,,1
Hungary,15,15,Ocon,Gasly,,1
Hungary,15,16,Norris,Russell,,
Hungary,16,3,Stroll,Magnussen,Replay,1
Hungary,17,4,Bottas,Magnussen,Yes,1
Hungary,18,7,Albon,Leclerc,Yes,1
Hungary,19,8,Vettel,Leclerc,Yes,1
Hungary,29,6,Albon,Grosjean,Replay,1
Hungary,31,7,Perez,Grosjean,Yes,1
Hungary,31,11,Vettel,Raikkonen,,
Hungary,32,13,Leclerc,Norris,Yes,3
Hungary,32,16,Russell,Ocon,,2
Hungary,33,8,Ricciardo,Grosjean,Yes,4
Hungary,34,9,Sainz,Grosjean,Replay,2
Hungary,34,13,Ocon,Russell,,
Hungary,37,8,Albon,Magnussen,Yes,1
Hungary,39,9,Perez,Magnussen,Yes,2
Hungary,46,8,Ricciardo,Magnussen,Replay,2
Hungary,46,13,Ocon,Grosjean,Yes,1
Hungary,47,14,Norris,Grosjean,Yes,2
Hungary,51,17,Giovinazzi,Russell,,2
Hungary,60,10,Sainz,Leclerc,Yes,1
Hungary,66,5,Albon,Vettel,Replay,2
Hungary,69,13,Norris,Ocon,,2
Great Britain,6,12,Giovinazzi,Albon,,
Great Britain,11,12,Kvyat,Giovinazzi,Yes,Brooklands
Great Britain,12,7,Stroll,Norris,,Stowe
Great Britain,19,7,Norris,Ricciardo,Yes,Luffield
Great Britain,19,10,Ocon,Vettel,Background,Loop
Great Britain,19,15,Raikkonen,Russell,,
Great Britain,22,5,Sainz,Grosjean,Yes,Stowe
Great Britain,24,6,Norris,Grosjean,Yes,Stowe
Great Britain,27,15,Russell,Raikkonen,,
Great Britain,30,12,Gasly,Giovinazzi,Yes,Stowe
Great Britain,32,15,Latifi,Raikkonen,Yes,Stowe
Great Britain,36,7,Ricciardo,Grosjean,Yes,Brooklands
Great Britain,36,8,Stroll,Grosjean,Yes,Stowe
Great Britain,37,10,Gasly,Vettel,Yes,Vale
Great Britain,39,15,Albon,Raikkonen,Yes,Stowe
Great Britain,41,14,Albon,Latifi,,
Great Britain,44,16,Grosjean,Raikkonen,,
Great Britain,45,12,Albon,Giovinazzi,Yes,Stowe
Great Britain,45,13,Albon,Russell,Yes,Brooklands
Great Britain,46,8,Ocon,Stroll,Yes,Brooklands
Great Britain,49,6,Ricciardo,Norris,,
Great Britain,49,9,Gasly,Stroll,Yes,Abbey
Great Britain,49,11,Albon,Vettel,Yes,Stowe
Great Britain,51,9,Albon,Stroll,Yes,Copse
Great Britain,52,14,Sainz,Latifi,,
Great Britain,52,15,Sainz,Grosjean,,
70th Anniversary,2,18,Raikkonen,Latifi,,
70th Anniversary,2,19,Vettel,Latifi,,
70th Anniversary,3,13,Kvyat,Magnussen,,
70th Anniversary,4,18,Vettel,Raikkonen,,
70th Anniversary,10,14,Gasly,Raikkonen,Yes,Stowe
70th Anniversary,13,15,Albon,Raikkonen,Replay,Copse
70th Anniversary,15,5,Hamilton,Leclerc,Replay,Stowe
70th Anniversary,17,11,Vettel,Grosjean,Yes,Brooklands
70th Anniversary,17,12,Norris,Grosjean,Yes,Stowe
70th Anniversary,20,10,Leclerc,Norris,Yes,Loop
70th Anniversary,20,18,Latifi,Magnussen,,
70th Anniversary,20,19,Grosjean,Magnussen,,
70th Anniversary,21,12,Albon,Gasly,Replay,Luffield
70th Anniversary,22,14,Kvyat,Raikkonen,,
70th Anniversary,24,13,Vettel,Raikkonen,,
70th Anniversary,27,1,Verstappen,Bottas,Yes,Luffield
70th Anniversary,29,7,Albon,Norris,Replay,Luffield
70th Anniversary,29,15,Gasly,Grosjean,,
70th Anniversary,30,14,Gasly,Giovinazzi,,
70th Anniversary,31,7,Kvyat,Ocon,Replay,Village
70th Anniversary,31,9,Sainz,Ricciardo,Replay,Village
70th Anniversary,35,8,Albon,Ocon,Yes,Stowe
70th Anniversary,35,10,Norris,Ricciardo,Replay,Stowe
70th Anniversary,36,16,Ricciardo,Russell,,
70th Anniversary,39,14,Ricciardo,Raikkonen,,
70th Anniversary,45,3,Hamilton,Leclerc,Yes,Stowe
70th Anniversary,46,17,Grosjean,Giovinazzi,,
70th Anniversary,50,2,Hamilton,Bottas,Yes,Brooklands
70th Anniversary,50,5,Albon,Stroll,Replay,Copse
Spain,2,12,Kvyat,Ricciardo,Yes,4
Spain,5,3,Bottas,Stroll,Yes,1
Spain,5,17,Russell,Grosjean,,
Spain,20,14,Ocon,Raikkonen,Yes,1
Spain,20,15,Albon,Raikkonen,Yes,4
Spain,23,16,Kvyat,Latifi,,1
Spain,25,17,Russell,Latifi,,
Spain,26,15,Kvyat,Grosjean,,
Spain,26,18,Raikkonen,Latifi,,
Spain,28,9,Ocon,Magnussen,Yes,1
Spain,28,10,Albon,Magnussen,Yes,3
Spain,28,11,Sainz,Magnussen,Yes,4
Spain,28,19,Giovinazzi,Latifi,,
Spain,29,10,Sainz,Albon,Yes,1
Spain,30,6,Sainz,Ocon,Yes,1
Spain,30,12,Leclerc,Kvyat,,
Spain,31,6,Perez,Sainz,Yes,1
Spain,31,15,Russell,Grosjean,,
Spain,32,16,Raikkonen,Grosjean,,
Spain,33,8,Albon,Ocon,Yes,1
Spain,34,9,Gasly,Ocon,,
Spain,35,4,Stroll,Ricciardo,Replay,1
Spain,41,14,Magnussen,Giovinazzi,,
Spain,49,17,Raikkonen,Latifi,,
Spain,55,16,Raikkonen,Grosjean,Replay,1
Spain,56,5,Stroll,Vettel,Yes,1
Spain,56,13,Ocon,Magnussen,,
Spain,58,15,Raikkonen,Russell,,
Spain,59,6,Sainz,Vettel,Yes,1
Spain,59,17,Giovinazzi,Grosjean,Replay,1
Spain,60,14,Raikkonen,Magnussen,,
Spain,61,16,Giovinazzi,Russell,,
Belgium,2,9,Gasly,Perez,Yes,Eau Rouge
Belgium,3,8,Gasly,Leclerc,Yes,Les Combes
Belgium,4,9,Perez,Leclerc,Yes,Les Combes
Belgium,4,15,Raikkonen,Magnussen,,
Belgium,5,16,Russell,Magnussen,,
Belgium,6,10,Norris,Leclerc,Yes,Les Combes
Belgium,6,17,Grosjean,Magnussen,,
Belgium,7,11,Kvyat,Leclerc,Yes,Les Combes
Belgium,8,18,Latifi,Magnussen,,Les Combes
Belgium,16,12,Raikkonen,Vettel,Replay,Les Combes
Belgium,17,5,Ricciardo,Perez,Yes,Les Combes
Belgium,17,6,Albon,Perez,Yes,Bus Stop
Belgium,21,4,Ricciardo,Gasly,Yes,Les Combes
Belgium,23,16,Perez,Latifi,,
Belgium,24,5,Albon,Gasly,Yes,Les Combes
Belgium,24,14,Perez,Magnussen,,
Belgium,26,6,Ocon,Gasly,Yes,Les Combes
Belgium,26,13,Perez,Grosjean,,
Belgium,28,15,Gasly,Latifi,,
Belgium,29,11,Perez,Vettel,Yes,Les Combes
Belgium,29,14,Gasly,Magnussen,,
Belgium,30,13,Gasly,Grosjean,Yes,Les Combes
Belgium,32,12,Gasly,Vettel,Yes,Les Combes
Belgium,33,10,Perez,Raikkonen,Yes,Les Combes
Belgium,34,11,Gasly,Raikkonen,Yes,Les Combes
Belgium,35,15,Leclerc,Magnussen,Yes,Les Combes
Belgium,36,9,Perez,Kvyat,Yes,Les Combes
Belgium,37,7,Norris,Stroll,Yes,Les Combes
Belgium,40,9,Gasly,Perez,Replay,Les Combes
Belgium,43,8,Gasly,Stroll,,
Belgium,44,5,Ocon,Albon,Yes,Les Combes
Belgium,44,14,Leclerc,Grosjean,,
Italy,2,7,Stroll,Verstappen,Yes,1
Italy,2,17,Vettel,Russell,,1
Italy,3,7,Verstappen,Stroll,Yes,1
Italy,4,14,Albon,Giovinazzi,,4
Italy,17,13,Albon,Leclerc,Yes,4
Italy,24,4,Leclerc,Giovinazzi,Yes,1
Italy,24,5,Leclerc,Raikkonen,Yes,1
Italy,24,5,Raikkonen,Giovinazzi,Yes,3
Italy,24,7,Sainz,Latifi,Yes,1
Italy,24,8,Norris,Latifi,,4
Italy,24,9,Bottas,Latifi,Background,4
Italy,24,12,Verstappen,Perez,Background,1
Italy,24,15,Russell,Perez,,3
Italy,24,15,Perez,Russell,,4
Italy,24,17,Albon,Grosjean,Background,4
Italy,29,4,Sainz,Stroll,Yes,1
Italy,29,11,Perez,Latifi,,4
Italy,29,13,Grosjean,Verstappen,,4
Italy,34,2,Sainz,Raikkonen,Yes,1
Italy,35,3,Stroll,Raikkonen,Yes,4
Italy,36,4,Norris,Raikkonen,Yes,1
Italy,37,5,Bottas,Raikkonen,Yes,1
Italy,38,6,Ricciardo,Raikkonen,Yes,1
Italy,40,14,Hamilton,Albon,Yes,4
Italy,41,13,Hamilton,Russell,Yes,1
Italy,42,12,Hamilton,Grosjean,Yes,1
Italy,43,7,Ocon,Raikkonen,Yes,4
Italy,44,8,Kvyat,Raikkonen,Yes,1
Italy,45,11,Hamilton,Latifi,PiP,4
Italy,46,9,Perez,Raikkonen,,4
Italy,46,10,Hamilton,Raikkonen,Yes,8
Italy,49,9,Hamilton,Perez,PiP,1
Italy,51,8,Hamilton,Kvyat,Yes,4
Italy,52,11,Latifi,Raikkonen,,1
Italy,53,7,Hamilton,Ocon,,1
Italy,53,12,Grosjean,Raikkonen,,4
Tuscany,11,10,Russell,Raikkonen,,
Tuscany,11,12,Vettel,Grosjean,Replay,San Donato
Tuscany,15,5,Ricciardo,Perez,Yes,San Donato
Tuscany,16,11,Vettel,Raikkonen,Replay,San Donato
Tuscany,18,3,Stroll,Leclerc,Yes,San Donato
Tuscany,18,6,Albon,Perez,Replay,San Donato
Tuscany,19,4,Ricciardo,Leclerc,Yes,San Donato
Tuscany,20,5,Albon,Leclerc,Yes,San Donato
Tuscany,21,6,Perez,Leclerc,Yes,San Donato
Tuscany,26,12,Leclerc,Grosjean,Yes,San Donato
Tuscany,28,5,Norris,Perez,Yes,San Donato
Tuscany,30,6,Perez,Leclerc,,San Donato
Tuscany,33,7,Norris,Leclerc,Yes,San Donato
Tuscany,34,12,Raikkonen,Grosjean,Yes,San Donato
Tuscany,48,2,Bottas,Ricciardo,Yes,San Donato
Tuscany,49,9,Leclerc,Grosjean,,Finish Line
Tuscany,51,3,Albon,Ricciardo,Yes,San Donato
Tuscany,51,10,Vettel,Grosjean,,San Donato
Tuscany,51,11,Russell,Grosjean,Yes,Finish Line
Russia,6,15,Russell,Raikkonen,,2
Russia,6,15,Raikkonen,Russell,,4
Russia,6,17,Norris,Albon,Replay,13
Russia,8,10,Kvyat,Grosjean,Yes,13
Russia,9,14,Raikkonen,Latifi,Yes,7
Russia,10,16,Norris,Russell,Replay,18
Russia,11,16,Russell,Norris,Yes,2
Russia,11,17,Albon,Norris,Yes,2
