,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,918,1,hamilton,131,1,1,Finished,109408,216550,323712,431062,538411,645795,753044,860625,968665,1078967,1206453,1314011,1421140,1528142,1635289.0,1742189.0,1849243.0,1956134.0,2063204.0,2170403.0,2277508.0,2384929.0,2492178.0,2599725.0,2707688.0,2816248.0,2924994.0,3034488.0,3143777.0,3253329.0,3363791.0,3492351.0,3599492.0,3706973.0,3814703.0,3921878.0,4028600.0,4135079.0,4241962.0,4349018.0,4455380.0,4561546.0,4667469.0,4773604.0,4879417.0,4985379.0,5091509.0,5197703.0,5303302.0,5409843.0,5516093.0,5622684.0,5728836.0,5835146.0,5942619.0
1,918,3,rosberg,131,14,11,+1 Lap,110647,218026,325385,432633,539909,647552,755160,863082,971423,1079770,1189854,1316617,1423507,1530656,1637667.0,1744823.0,1851692.0,1958705.0,2065999.0,2173083.0,2280466.0,2387659.0,2496139.0,2606877.0,2718668.0,2829912.0,2941455.0,3052995.0,3163893.0,3273927.0,3383597.0,3494594.0,3606250.0,3718616.0,3851742.0,3959897.0,4069276.0,4178001.0,4286505.0,4399911.0,4508831.0,4617358.0,4725800.0,4834295.0,4943935.0,5051921.0,5159724.0,5267338.0,5376231.0,5487598.0,5614914.0,5725518.0,5841092.0,5954344.0,
4,918,13,massa,3,2,1,Finished,111957,220183,327977,435782,543661,651397,758954,866793,974669,1082526,1190476,1298638,1408727,1536126,1643383.0,1750576.0,1857849.0,1965426.0,2073123.0,2180934.0,2288724.0,2396782.0,2504810.0,2613068.0,2721361.0,2830627.0,2938853.0,3046830.0,3154815.0,3262347.0,3369648.0,3477234.0,3584636.0,3691960.0,3799156.0,3906038.0,4013072.0,4120315.0,4227216.0,4334741.0,4441751.0,4548989.0,4658509.0,4784467.0,4889809.0,4994762.0,5099588.0,5204505.0,5309580.0,5414898.0,5520789.0,5626273.0,5732084.0,5838358.0,5945195.0
6,918,18,button,1,5,1,Finished,112785,221349,330109,439129,548770,660212,790038,899281,1008331,1117007,1225662,1334990,1444233,1554040,1663804.0,1773317.0,1883170.0,1992764.0,2102376.0,2211887.0,2321371.0,2430347.0,2539122.0,2648480.0,2757484.0,2866498.0,2975445.0,3086545.0,3217001.0,3324617.0,3431905.0,3539266.0,3646582.0,3753388.0,3860332.0,3967197.0,4074277.0,4181496.0,4288595.0,4395908.0,4503119.0,4610291.0,4717329.0,4824881.0,4931994.0,5038964.0,5145703.0,5252981.0,5360141.0,5467380.0,5574251.0,5681378.0,5788564.0,5895577.0,6002953.0
3,918,8,raikkonen,6,10,1,Finished,113246,222303,331208,440492,552325,664959,795504,905666,1014790,1124149,1234475,1344075,1452987,1561758,1670645.0,1779589.0,1888095.0,1996958.0,2105785.0,2214772.0,2323730.0,2433094.0,2542098.0,2650901.0,2759975.0,2870896.0,3000533.0,3109433.0,3218355.0,3326640.0,3435159.0,3543335.0,3651331.0,3759620.0,3868223.0,3977349.0,4085409.0,4193366.0,4301241.0,4410060.0,4518256.0,4626011.0,4734237.0,4842738.0,4950829.0,5058565.0,5166931.0,5274800.0,5382576.0,5490454.0,5598541.0,5706732.0,5814488.0,5922322.0,6030439.0
2,918,4,alonso,6,9,1,Finished,113828,222977,332074,441189,552335,680699,791347,900373,1009307,1118106,1227271,1336291,1445503,1554936,1664342.0,1773921.0,1883763.0,1993656.0,2103101.0,2212905.0,2322590.0,2431706.0,2540530.0,2649664.0,2758839.0,2867803.0,2978175.0,3106903.0,3215943.0,3325648.0,3434368.0,3542402.0,3650423.0,3758596.0,3866934.0,3975244.0,4083002.0,4190681.0,4299122.0,4407066.0,4514840.0,4623456.0,4731383.0,4838952.0,4946376.0,5053930.0,5162794.0,5271963.0,5380131.0,5488427.0,5596297.0,5704429.0,5812281.0,5920081.0,6028432.0
18,918,826,kvyat,5,20,131,Power Unit,115015,223794,332712,441801,551458,661444,793882,902985,1012298,1121046,1229809,1338622,1447744,1556952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,918,822,bottas,3,3,1,Finished,115482,224412,333195,442359,552842,661818,769737,877745,985995,1096022,1224590,1333823,1442869,1551238,1659457.0,1767444.0,1875266.0,1983454.0,2091469.0,2199767.0,2307827.0,2415936.0,2524159.0,2631810.0,2739804.0,2847252.0,2954684.0,3063745.0,3172240.0,3280405.0,3388328.0,3496483.0,3604389.0,3711760.0,3820894.0,3947943.0,4054247.0,4160943.0,4267434.0,4373902.0,4480468.0,4587018.0,4693529.0,4800415.0,4907065.0,5013605.0,5119997.0,5226104.0,5332115.0,5438502.0,5544699.0,5651113.0,5758242.0,5863969.0,5971499.0
10,918,807,hulkenberg,10,6,1,Finished,116485,226249,335680,445487,555328,665135,774493,883896,993582,1103291,1213015,1322562,1432261,1541722,1652676.0,1786515.0,1894762.0,2003384.0,2111852.0,2220201.0,2328918.0,2437670.0,2546104.0,2654643.0,2763272.0,2871866.0,2980468.0,3091206.0,3199590.0,3307651.0,3415682.0,3524049.0,3632533.0,3741051.0,3849686.0,3958208.0,4067772.0,4194690.0,4301943.0,4408694.0,4515683.0,4622316.0,4729133.0,4835636.0,4942553.0,5048540.0,5154317.0,5260566.0,5366649.0,5472888.0,5578832.0,5685111.0,5791502.0,5898299.0,6004767.0
12,918,815,perez,10,7,1,Finished,117708,227663,337288,447047,557143,667082,776847,886484,996370,1106253,1216688,1326382,1436448,1547993,1677111.0,1785152.0,1893314.0,2001483.0,2109833.0,2218429.0,2326963.0,2435611.0,2544322.0,2653262.0,2761876.0,2870622.0,2979085.0,3087639.0,3196132.0,3304639.0,3413950.0,3522450.0,3630826.0,3739194.0,3847598.0,3956008.0,4064281.0,4172732.0,4281072.0,4389605.0,4500777.0,4628405.0,4734914.0,4841270.0,4947530.0,5054800.0,5161499.0,5268299.0,5374107.0,5480244.0,5586961.0,5693600.0,5800232.0,5906859.0,6013679.0
15,918,821,gutierrez,15,15,11,+1 Lap,118229,228207,337856,447661,559276,670493,782868,913129,1022505,1132885,1243575,1352778,1462233,1572185,1682294.0,1793281.0,1903183.0,2012922.0,2122528.0,2232335.0,2342100.0,2452283.0,2562974.0,2672817.0,2782843.0,2893088.0,3003649.0,3116147.0,3246590.0,3354907.0,3463210.0,3571026.0,3679174.0,3787086.0,3894957.0,4003225.0,4111574.0,4219752.0,4327842.0,4435817.0,4544312.0,4652521.0,4760219.0,4867980.0,4976153.0,5085145.0,5193852.0,5302519.0,5411938.0,5522364.0,5630855.0,5739585.0,5847693.0,5955948.0,
14,918,818,vergne,5,12,1,Finished,118872,228938,338663,448451,558417,668450,777698,887249,996928,1107002,1217566,1328453,1440510,1570586,1679457.0,1788137.0,1896819.0,2005860.0,2114751.0,2223527.0,2332049.0,2440587.0,2549409.0,2657853.0,2766909.0,2875607.0,2984197.0,3093669.0,3202345.0,3312279.0,3440326.0,3547560.0,3654367.0,3761487.0,3868922.0,3976355.0,4083922.0,4191659.0,4299921.0,4408076.0,4516661.0,4624465.0,4732552.0,4842460.0,4969241.0,5075290.0,5181381.0,5287465.0,5393353.0,5499039.0,5605599.0,5712584.0,5819898.0,5927020.0,6034566.0
17,918,825,kevin_magnussen,1,11,1,Finished,119834,231201,341471,451877,561850,672041,783519,893942,1003856,1113351,1222799,1332498,1442240,1552542,1662149.0,1771757.0,1881312.0,1990731.0,2100303.0,2209716.0,2320280.0,2450733.0,2560577.0,2669566.0,2780133.0,2888879.0,2997716.0,3108296.0,3218864.0,3347012.0,3454665.0,3562217.0,3669779.0,3777307.0,3884674.0,3991769.0,4098593.0,4205424.0,4312485.0,4420166.0,4527457.0,4634950.0,4742254.0,4849964.0,4957645.0,5064938.0,5172295.0,5279721.0,5386897.0,5494163.0,5603724.0,5711052.0,5818104.0,5925363.0,6032995.0
11,918,813,maldonado,208,19,131,Power Unit,120054,231510,341881,452383,562414,672741,785694,915249,1024182,1133743,1244428,1354040,1463170,1572994,1682689.0,1792206.0,1901490.0,2010573.0,2119854.0,2229522.0,2338703.0,2447847.0,2557143.0,2666321.0,2775953.0,2885520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918,155,kobayashi,207,18,31,Retired,121183,232237,342714,453448,566359,676852,787832,898822,1010914,1122645,1234013,1346387,1458431,1569929,1683798.0,1818321.0,1928040.0,2038315.0,2148666.0,2259199.0,2369551.0,2480400.0,2590654.0,2700666.0,2810706.0,2920853.0,3031344.0,3141850.0,3252234.0,3364736.0,3475000.0,3586289.0,3696042.0,3805595.0,3915169.0,4026780.0,4157292.0,4264723.0,4375039.0,4483489.0,4591674.0,4702416.0,,,,,,,,,,,,,
5,918,16,sutil,15,16,11,+1 Lap,122074,232766,343185,453725,567202,697503,806765,916945,1026672,1136909,1247183,1358203,1468250,1578118,1688477.0,1798228.0,1908240.0,2017931.0,2127645.0,2237390.0,2347183.0,2458743.0,2588250.0,2696896.0,2805671.0,2914390.0,3023512.0,3132349.0,3240804.0,3349385.0,3458109.0,3566884.0,3675342.0,3783687.0,3892474.0,4000892.0,4111341.0,4239267.0,4346887.0,4457044.0,4564819.0,4672757.0,4780542.0,4888050.0,4997046.0,5105066.0,5213206.0,5321443.0,5429943.0,5538332.0,5646497.0,5754246.0,5861789.0,5972663.0,
13,918,817,ricciardo,9,4,1,Finished,122579,233177,343619,454192,564265,673473,782232,891200,999620,1108209,1217821,1329158,1438101,1546933,1655479.0,1763932.0,1872398.0,1980999.0,2089528.0,2198105.0,2306356.0,2414685.0,2523167.0,2633088.0,2742053.0,2851108.0,2961644.0,3090194.0,3197820.0,3305350.0,3412284.0,3519251.0,3625986.0,3732765.0,3839558.0,3946204.0,4053140.0,4159906.0,4266481.0,4372872.0,4479494.0,4585820.0,4692075.0,4798173.0,4904411.0,5010616.0,5118883.0,5243750.0,5348817.0,5453313.0,5558376.0,5663472.0,5768822.0,5874010.0,5979856.0
7,918,20,vettel,9,8,1,Finished,123036,233737,344678,454702,565889,675320,784809,894677,1004475,1114025,1223459,1333284,1443458,1553304,1663017.0,1772594.0,1882434.0,1991836.0,2101270.0,2211100.0,2322295.0,2452671.0,2561618.0,2670345.0,2778801.0,2886923.0,2994236.0,3102287.0,3209952.0,3317019.0,3424125.0,3531034.0,3638634.0,3745651.0,3852972.0,3961090.0,4068254.0,4175106.0,4282505.0,4390322.0,4499556.0,4606666.0,4713297.0,4820063.0,4927544.0,5036997.0,5163401.0,5269847.0,5376742.0,5482727.0,5588279.0,5694541.0,5800936.0,5907783.0,6014664.0
8,918,154,grosjean,208,13,11,+1 Lap,123057,245975,354830,463760,572978,682434,792355,904045,1033624,1142540,1251947,1361387,1472104,1581284,1690762.0,1800453.0,1909954.0,2019266.0,2128973.0,2239127.0,2350506.0,2478678.0,2587154.0,2695724.0,2804121.0,2912372.0,3020664.0,3129245.0,3237723.0,3347951.0,3456582.0,3564733.0,3672912.0,3781168.0,3889065.0,3998067.0,4106467.0,4214508.0,4322617.0,4430917.0,4538957.0,4647096.0,4755793.0,4864045.0,4972401.0,5080703.0,5189104.0,5297809.0,5406390.0,5514854.0,5624884.0,5734364.0,5843306.0,5952427.0,
